date,complete,articles,war_articles,acts,threats,energy,peace,risk_balance,attention,attention_change,risk_change,news_innovation,macro
2026-05-29,True,3,1,0,0,0,1,-25.0,0.6931471805599453,-0.4054651081081645,-56.25,0.4054651081081645,False
2026-06-01,True,6,4,0,1,0,1,12.5,1.6094379124341003,0.916290731874155,37.5,0.916290731874155,False
2026-06-02,True,4,1,0,1,0,0,25.0,0.6931471805599453,-0.916290731874155,12.5,0.916290731874155,False
2026-06-03,True,5,1,1,0,0,1,0.0,0.6931471805599453,0.0,-25.0,0.0,False
2026-06-04,True,3,2,0,0,1,0,41.666666666666664,1.0986122886681098,0.4054651081081645,41.666666666666664,0.4054651081081645,False
2026-06-05,True,4,0,0,0,0,0,0.0,0.0,-1.0986122886681098,-41.666666666666664,1.0986122886681098,True
2026-06-08,True,13,6,4,1,1,2,25.0,1.9459101490553132,1.9459101490553132,25.0,1.9459101490553132,False
2026-06-09,True,4,2,0,0,0,1,-12.5,1.0986122886681098,-0.8472978603872034,-37.5,0.8472978603872034,False
2026-06-10,True,4,0,0,0,0,0,0.0,0.0,-1.0986122886681098,12.5,1.0986122886681098,True
2026-06-11,True,2,2,2,1,0,0,100.0,1.0986122886681098,1.0986122886681098,100.0,1.0986122886681098,False
2026-06-12,True,4,3,0,0,0,1,0.0,1.3862943611198906,0.2876820724517808,-100.0,0.2876820724517808,False
2026-06-15,True,12,9,0,0,3,5,-8.333333333333334,2.302585092994046,0.9162907318741553,-8.333333333333334,0.9162907318741553,False
2026-06-16,True,6,3,0,0,0,3,-37.5,1.3862943611198906,-0.9162907318741553,-29.166666666666664,0.9162907318741553,False
2026-06-17,True,5,3,1,2,1,3,0.0,1.3862943611198906,0.0,37.5,0.0,True
2026-06-18,True,5,2,0,0,1,1,0.0,1.0986122886681098,-0.2876820724517808,0.0,0.2876820724517808,False
2026-06-22,True,12,8,2,1,1,3,10.416666666666666,2.1972245773362196,1.0986122886681098,10.416666666666666,1.0986122886681098,False
2026-06-23,True,2,1,0,0,1,0,37.5,0.6931471805599453,-1.5040773967762742,27.083333333333336,1.5040773967762742,False
2026-06-24,True,1,1,0,0,0,1,-75.0,0.6931471805599453,0.0,-112.5,0.0,False
2026-06-25,True,2,1,0,0,1,0,37.5,0.6931471805599453,0.0,112.5,0.0,False
2026-06-26,True,3,2,2,0,2,0,66.66666666666667,1.0986122886681098,0.4054651081081645,29.16666666666667,0.4054651081081645,False
2026-06-29,True,6,4,1,1,1,1,20.833333333333332,1.6094379124341003,0.5108256237659905,-45.83333333333334,0.5108256237659905,False
2026-06-30,True,2,1,0,0,0,0,25.0,0.6931471805599453,-0.916290731874155,4.166666666666668,0.916290731874155,False
2026-07-01,True,0,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-25.0,0.6931471805599453,False
2026-07-02,True,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True
